ED_COUNTER,ED_INTERPOLATED,ED_RAW_CQ,ED_AF3,ED_F7,ED_F3,ED_FC5,ED_T7,ED_P7,ED_O1,ED_O2,ED_P8,ED_T8,ED_FC6,ED_F4,ED_F8,ED_AF4,ED_GYROX,ED_GYROY,ED_TIMESTAMP,ED_ES_TIMESTAMP,ED_FUNC_ID,ED_FUNC_VALUE,ED_MARKER,ED_SYNC_SIGNAL,
20,0,0,4229.230769,647.692308,4168.717949,4111.282051,647.692308,647.692308,647.692308,4132.820513,4222.564103,4063.589744,646.153846,646.153846,4171.794872,3465.128205,1697,1692,3159.477,0.031277,0,0,0,0,
21,0,0,4257.435897,647.692308,4176.410256,4121.538462,647.692308,647.692308,647.692308,4151.794872,4253.846154,4092.820513,646.153846,646.153846,4187.692308,3473.333333,1696,1694,3159.487,0.031277,0,0,0,0,
22,0,0,4273.846154,647.692308,4166.666667,4125.641026,647.692308,647.692308,647.692308,4179.487179,4275.897436,4118.461538,646.153846,646.153846,4199.487179,3483.076923,1698,1693,3159.493,0.031277,0,0,0,0,
23,0,0,4255.384615,647.692308,4159.487179,4117.435897,647.692308,647.692308,647.692308,4170.25641,4263.589744,4109.74359,646.153846,646.153846,4194.358974,3485.641026,1697,1693,3159.501,0.031277,0,0,0,0,
24,0,0,4248.717949,647.692308,4158.461538,4114.358974,647.692308,647.692308,647.692308,4147.179487,4255.384615,4097.435897,646.153846,646.153846,4190.25641,3484.102564,1697,1693,3159.509,0.031277,0,0,0,0,
"17:12:41	",25,0,0,4257.435897,647.692308,4158.461538,4116.923077,647.692308,647.692308,647.692308,4152.820513,4260.512821,4100,646.153846,646.153846,4192.820513,3484.615385,1697,1693,3159.519,0.031277,0,0,0,0
26,0,0,4251.794872,647.692308,4157.948718,4113.333333,647.692308,647.692308,647.692308,4158.461538,4255.897436,4099.487179,646.153846,646.153846,4192.307692,3483.589744,1697,1693,3159.525,0.031277,0,0,0,0,
27,0,0,4244.102564,647.692308,4150.769231,4106.666667,647.692308,647.692308,647.692308,4141.538462,4242.564103,4087.692308,646.153846,646.153846,4186.666667,3475.384615,1697,1693,3159.532,0.031277,0,0,0,0,
28,0,0,4245.128205,647.692308,4147.179487,4105.641026,647.692308,647.692308,647.692308,4132.307692,4241.538462,4083.076923,646.153846,646.153846,4186.666667,3474.871795,1698,1693,3159.54,0.031277,0,0,0,0,
"17:12:41	",29,0,0,4238.461538,647.692308,4157.948718,4102.564103,647.692308,647.692308,647.692308,4138.461538,4251.794872,4092.307692,646.153846,646.153846,4189.74359,3480.512821,1699,1693,3159.549,0.031277,0,0,0,0
30,0,0,4228.717949,647.692308,4162.564103,4094.358974,647.692308,647.692308,647.692308,4125.641026,4240.512821,4081.025641,646.153846,646.153846,4181.025641,3474.871795,1700,1692,3159.555,0.031277,0,0,0,0,
31,0,0,4246.666667,647.692308,4159.487179,4101.538462,647.692308,647.692308,647.692308,4121.538462,4240.512821,4081.025641,646.153846,646.153846,4183.589744,3475.384615,1700,1693,3159.563,0.031277,0,0,0,0,
32,0,0,4274.358974,647.692308,4165.128205,4114.871795,647.692308,647.692308,647.692308,4150.769231,4277.948718,4124.102564,646.153846,646.153846,4206.153846,3494.358974,1701,1692,3159.572,0.031277,0,0,0,0,
33,0,0,4263.076923,647.692308,4169.74359,4111.794872,647.692308,647.692308,647.692308,4153.846154,4283.589744,4130.25641,646.153846,646.153846,4207.179487,3498.461538,1700,1693,3159.581,0.031277,0,0,0,0,
34,0,0,4234.358974,647.692308,4159.487179,4099.487179,647.692308,647.692308,647.692308,4135.384615,4248.205128,4090.25641,646.153846,646.153846,4189.74359,3480.512821,1700,1692,3159.587,0.031277,0,0,0,0,
35,0,0,4231.794872,647.692308,4148.205128,4092.820513,647.692308,647.692308,647.692308,4141.025641,4243.589744,4085.641026,646.153846,646.153846,4190.25641,3472.307692,1699,1694,3159.596,0.031277,0,0,0,0,
36,0,0,4235.384615,647.692308,4151.794872,4091.282051,647.692308,647.692308,647.692308,4153.333333,4265.128205,4108.717949,646.153846,646.153846,4199.487179,3477.435897,1701,1693,3159.603,0.031277,0,0,0,0,
"17:12:41	",37,0,0,4233.333333,647.692308,4160,4093.846154,647.692308,647.692308,647.692308,4145.128205,4264.102564,4107.179487,646.153846,646.153846,4196.923077,3482.564103,1698,1693,3159.612,0.031277,0,0,0,0
38,0,0,4243.076923,647.692308,4161.538462,4101.025641,647.692308,647.692308,647.692308,4134.358974,4261.025641,4102.564103,646.153846,646.153846,4196.923077,3485.128205,1700,1693,3159.618,0.031277,0,0,0,0,
39,0,0,4257.435897,647.692308,4164.102564,4103.589744,647.692308,647.692308,647.692308,4140.512821,4280,4121.538462,646.153846,646.153846,4206.153846,3488.205128,1699,1692,3159.626,0.031277,0,0,0,0,
40,0,0,4260,647.692308,4166.666667,4103.076923,647.692308,647.692308,647.692308,4146.666667,4286.153846,4129.74359,646.153846,646.153846,4209.74359,3489.230769,1699,1694,3159.635,0.031277,0,0,0,0,
"17:12:41	",41,0,0,4252.820513,647.692308,4162.564103,4104.102564,647.692308,647.692308,647.692308,4147.692308,4272.820513,4117.435897,646.153846,646.153846,4204.102564,3488.717949,1699,1692,3159.644,0.031277,0,0,0,0
42,0,0,4241.538462,647.692308,4161.538462,4101.538462,647.692308,647.692308,647.692308,4154.871795,4277.948718,4123.589744,646.153846,646.153846,4206.153846,3490.769231,1699,1693,3159.65,0.031277,0,0,0,0,
43,0,0,4229.230769,647.692308,4165.128205,4092.820513,647.692308,647.692308,647.692308,4164.102564,4291.282051,4138.461538,646.153846,646.153846,4216.410256,3493.333333,1698,1693,3159.656,0.031277,0,0,0,0,
44,0,0,4225.641026,647.692308,4160.512821,4086.153846,647.692308,647.692308,647.692308,4166.153846,4292.307692,4140,646.153846,646.153846,4219.487179,3493.846154,1699,1693,3159.665,0.031277,0,0,0,0,
45,0,0,4236.923077,647.692308,4155.897436,4090.769231,647.692308,647.692308,647.692308,4163.589744,4290.25641,4136.410256,646.153846,646.153846,4214.871795,3490.769231,1699,1693,3159.676,0.031277,0,0,0,0,
46,0,0,4248.205128,647.692308,4162.564103,4098.461538,647.692308,647.692308,647.692308,4160.512821,4285.128205,4129.74359,646.153846,646.153846,4212.307692,3488.717949,1699,1694,3159.68,0.031277,0,0,0,0,
47,0,0,4251.794872,647.692308,4165.641026,4103.589744,647.692308,647.692308,647.692308,4165.128205,4290.25641,4134.871795,646.153846,646.153846,4217.435897,3491.794872,1700,1693,3159.689,0.031277,0,0,0,0,
48,0,0,4257.948718,647.692308,4162.051282,4102.051282,647.692308,647.692308,647.692308,4176.410256,4302.051282,4148.717949,646.153846,646.153846,4223.589744,3497.948718,1699,1693,3159.696,0.031277,0,0,0,0,
"17:12:41	",53,0,0,4263.076923,647.692308,4164.615385,4103.076923,647.692308,647.692308,647.692308,4182.564103,4305.128205,4153.333333,646.153846,646.153846,4229.74359,3504.615385,1698,1692,3159.738,0.50043,0,0,0,0
54,0,0,4257.435897,647.692308,4171.794872,4103.076923,647.692308,647.692308,647.692308,4181.538462,4304.615385,4152.820513,646.153846,646.153846,4231.282051,3502.051282,1700,1691,3159.744,0.50043,0,0,0,0,
55,0,0,4253.333333,647.692308,4176.410256,4101.025641,647.692308,647.692308,647.692308,4198.974359,4320,4166.666667,646.153846,646.153846,4237.435897,3508.205128,1697,1690,3159.752,0.50043,0,0,0,0,
56,0,0,4244.102564,647.692308,4174.358974,4099.487179,647.692308,647.692308,647.692308,4200.512821,4316.410256,4162.564103,646.153846,646.153846,4235.384615,3509.74359,1696,1690,3159.76,0.50043,0,0,0,0,
"17:12:41	",57,0,0,4238.461538,647.692308,4162.564103,4097.948718,647.692308,647.692308,647.692308,4184.615385,4290.769231,4136.410256,646.153846,646.153846,4223.589744,3499.487179,1695,1689,3159.771,0.531707,0,0,0,0
58,0,0,4239.487179,647.692308,4152.307692,4095.897436,647.692308,647.692308,647.692308,4171.282051,4267.692308,4111.282051,646.153846,646.153846,4211.282051,3491.794872,1694,1689,3159.775,0.531707,0,0,0,0,
59,0,0,4249.230769,647.692308,4156.923077,4101.025641,647.692308,647.692308,647.692308,4162.564103,4272.820513,4114.871795,646.153846,646.153846,4211.794872,3497.435897,1693,1688,3159.782,0.531707,0,0,0,0,
60,0,0,4261.538462,647.692308,4167.692308,4107.179487,647.692308,647.692308,647.692308,4166.153846,4300,4145.641026,646.153846,646.153846,4223.589744,3504.615385,1694,1688,3159.785,0.531707,0,0,0,0,
"17:12:41	",65,0,356,4222.051282,647.692308,4149.74359,4087.179487,647.692308,647.692308,647.692308,4150.25641,4261.025641,4109.230769,646.153846,646.153846,4204.615385,3485.128205,1702,1691,3159.837,0.531707,0,0,0,0
66,0,525,4227.179487,647.692308,4147.179487,4086.666667,647.692308,647.692308,647.692308,4116.410256,4240.512821,4084.102564,646.153846,646.153846,4193.333333,3486.153846,1702,1692,3159.837,0.531707,0,0,0,0,
67,0,0,4236.923077,647.692308,4142.564103,4089.230769,647.692308,647.692308,647.692308,4105.641026,4235.384615,4075.897436,646.153846,646.153846,4187.692308,3482.051282,1703,1694,3159.842,0.531707,0,0,0,0,
68,0,0,4231.282051,647.692308,4138.974359,4088.205128,647.692308,647.692308,647.692308,4111.282051,4226.666667,4069.230769,646.153846,646.153846,4182.051282,3474.358974,1703,1693,3159.852,0.531707,0,0,0,0,
"17:12:41	",77,0,0,4196.410256,647.692308,4132.307692,4092.820513,647.692308,647.692308,647.692308,4093.333333,4196.923077,4036.923077,646.153846,646.153846,4155.384615,3448.205128,1694,1690,3159.924,0.531707,0,0,0,0
78,0,638,4209.230769,647.692308,4131.282051,4095.897436,647.692308,647.692308,647.692308,4080,4196.923077,4035.897436,646.153846,646.153846,4152.820513,3447.692308,1694,1689,3159.93,0.531707,0,0,0,0,
79,0,417,4211.282051,647.692308,4126.153846,4091.794872,647.692308,647.692308,647.692308,4068.717949,4189.74359,4026.666667,646.153846,646.153846,4148.205128,3451.794872,1694,1689,3159.939,0.531707,0,0,0,0,
80,0,0,4201.538462,647.692308,4125.641026,4090.25641,647.692308,647.692308,647.692308,4070.769231,4188.205128,4025.128205,646.153846,646.153846,4147.179487,3447.692308,1694,1689,3159.946,0.531707,0,0,0,0,
"17:12:41	",85,0,0,4218.461538,647.692308,4125.641026,4096.923077,647.692308,647.692308,647.692308,4107.692308,4225.128205,4065.128205,646.153846,646.153846,4168.205128,3460.512821,1697,1691,3159.988,0.531707,0,0,0,0
86,0,638,4216.923077,647.692308,4125.641026,4091.794872,647.692308,647.692308,647.692308,4107.692308,4220,4062.051282,646.153846,646.153846,4168.717949,3457.435897,1699,1692,3159.992,0.531707,0,0,0,0,
87,0,417,4215.384615,647.692308,4140.512821,4090.25641,647.692308,647.692308,647.692308,4106.153846,4220,4061.025641,646.153846,646.153846,4167.179487,3456.923077,1699,1691,3160,0.531707,0,0,0,0,
88,0,0,4214.358974,647.692308,4141.025641,4089.230769,647.692308,647.692308,647.692308,4096.410256,4221.538462,4058.461538,646.153846,646.153846,4164.615385,3462.051282,1698,1692,3160.013,0.531707,0,0,0,0,
"17:12:41	",89,0,0,4218.974359,647.692308,4127.179487,4088.205128,647.692308,647.692308,647.692308,4087.179487,4217.948718,4054.871795,646.153846,646.153846,4165.128205,3465.128205,1697,1691,3160.019,0.531707,0,0,0,0
90,0,638,4227.692308,647.692308,4131.794872,4093.333333,647.692308,647.692308,647.692308,4094.871795,4228.205128,4067.179487,646.153846,646.153846,4170.769231,3468.205128,1696,1692,3160.024,0.531707,0,0,0,0,
91,0,417,4222.564103,647.692308,4141.025641,4094.871795,647.692308,647.692308,647.692308,4098.974359,4228.717949,4066.666667,646.153846,646.153846,4168.205128,3466.666667,1696,1690,3160.031,0.531707,0,0,0,0,
92,0,0,4213.333333,647.692308,4135.897436,4091.282051,647.692308,647.692308,647.692308,4084.615385,4199.487179,4036.410256,646.153846,646.153846,4156.410256,3456.923077,1694,1691,3160.038,0.531707,0,0,0,0,
"17:12:41	",97,0,0,4229.230769,647.692308,4130.769231,4100,647.692308,647.692308,647.692308,4103.076923,4215.384615,4053.846154,646.153846,646.153846,4161.025641,3463.076923,1696,1692,3160.081,0.531707,0,0,0,0
98,0,638,4214.358974,647.692308,4115.384615,4090.769231,647.692308,647.692308,647.692308,4079.487179,4184.615385,4023.076923,646.153846,646.153846,4144.102564,3457.435897,1696,1691,3160.086,0.531707,0,0,0,0,
99,0,417,4218.974359,647.692308,4122.051282,4085.128205,647.692308,647.692308,647.692308,4078.974359,4187.692308,4026.153846,646.153846,646.153846,4150.25641,3459.487179,1696,1693,3160.094,0.531707,0,0,0,0,
100,0,0,4232.820513,647.692308,4146.153846,4094.358974,647.692308,647.692308,647.692308,4094.871795,4220.512821,4058.461538,646.153846,646.153846,4165.641026,3461.538462,1697,1693,3160.103,0.531707,0,0,0,0,
"17:12:41	",105,0,0,4244.102564,647.692308,4141.538462,4102.564103,647.692308,647.692308,647.692308,4108.717949,4220,4062.564103,646.153846,646.153846,4172.820513,3483.076923,1698,1694,3160.143,0.531707,0,0,0,0
106,0,638,4248.205128,647.692308,4141.538462,4099.487179,647.692308,647.692308,647.692308,4121.025641,4230.769231,4071.794872,646.153846,646.153846,4175.897436,3488.717949,1700,1695,3160.149,0.531707,0,0,0,0,
107,0,417,4255.384615,647.692308,4142.051282,4103.589744,647.692308,647.692308,647.692308,4148.717949,4256.410256,4095.384615,646.153846,646.153846,4185.128205,3489.74359,1699,1694,3160.163,0.531707,0,0,0,0,
108,0,0,4258.461538,647.692308,4150.769231,4109.74359,647.692308,647.692308,647.692308,4161.538462,4268.205128,4108.717949,646.153846,646.153846,4196.923077,3492.820513,1699,1695,3160.165,0.531707,0,0,0,0,
"17:12:41	",109,0,0,4250.769231,647.692308,4154.871795,4106.153846,647.692308,647.692308,647.692308,4157.948718,4261.538462,4107.692308,646.153846,646.153846,4199.487179,3495.384615,1699,1693,3160.174,0.531707,0,0,0,0
110,0,638,4244.102564,647.692308,4145.128205,4100.512821,647.692308,647.692308,647.692308,4153.846154,4260,4105.128205,646.153846,646.153846,4195.897436,3495.897436,1698,1693,3160.18,0.531707,0,0,0,0,
111,0,417,4252.307692,647.692308,4146.666667,4103.589744,647.692308,647.692308,647.692308,4164.615385,4279.487179,4117.948718,646.153846,646.153846,4201.538462,3499.487179,1698,1692,3160.184,0.531707,0,0,0,0,
112,0,0,4257.948718,647.692308,4158.974359,4106.666667,647.692308,647.692308,647.692308,4167.179487,4277.435897,4117.948718,646.153846,646.153846,4203.076923,3500,1697,1692,3160.193,0.531707,0,0,0,0,
"17:12:41	",117,0,0,4262.051282,647.692308,4146.153846,4102.564103,647.692308,647.692308,647.692308,4163.589744,4243.076923,4083.589744,646.153846,646.153846,4187.692308,3495.384615,1697,1695,3160.237,1.00086,0,0,0,0
118,0,638,4265.128205,647.692308,4158.461538,4104.102564,647.692308,647.692308,647.692308,4150.769231,4251.794872,4089.74359,646.153846,646.153846,4191.282051,3495.897436,1697,1695,3160.241,1.00086,0,0,0,0,
119,0,417,4259.487179,647.692308,4168.205128,4103.076923,647.692308,647.692308,647.692308,4142.564103,4251.282051,4092.820513,646.153846,646.153846,4190.25641,3501.025641,1696,1696,3160.25,1.00086,0,0,0,0,
120,0,0,4254.358974,647.692308,4159.487179,4101.025641,647.692308,647.692308,647.692308,4148.205128,4245.128205,4086.153846,646.153846,646.153846,4185.128205,3503.589744,1697,1695,3160.261,1.00086,0,0,0,0,
"17:12:41	",121,0,0,4248.717949,647.692308,4154.358974,4100,647.692308,647.692308,647.692308,4157.435897,4248.717949,4086.153846,646.153846,646.153846,4186.153846,3498.974359,1697,1696,3160.27,1.032137,0,0,0,0
122,0,638,4246.153846,647.692308,4153.846154,4098.974359,647.692308,647.692308,647.692308,4155.897436,4253.333333,4093.333333,646.153846,646.153846,4190.769231,3496.410256,1698,1696,3160.273,1.032137,0,0,0,0,
123,0,417,4249.230769,647.692308,4149.230769,4098.461538,647.692308,647.692308,647.692308,4157.948718,4260.512821,4105.641026,646.153846,646.153846,4196.410256,3502.051282,1698,1696,3160.281,1.032137,0,0,0,0,
124,0,0,4250.769231,647.692308,4149.230769,4101.025641,647.692308,647.692308,647.692308,4162.564103,4271.794872,4117.435897,646.153846,646.153846,4200,3504.615385,1699,1695,3160.289,1.032137,0,0,0,0,
"17:12:41	",0,0,511,4263.076923,647.692308,4170.769231,4106.153846,647.692308,647.692308,647.692308,4184.615385,4274.871795,4120.512821,646.153846,646.153846,4203.589744,3517.948718,1699,1697,3160.33,1.032137,0,0,0,0
1,0,356,4247.179487,647.692308,4158.974359,4095.897436,647.692308,647.692308,647.692308,4188.205128,4267.179487,4110.25641,646.153846,646.153846,4201.538462,3515.897436,1700,1698,3160.335,1.032137,0,0,0,0,
2,0,525,4236.410256,647.692308,4150.25641,4089.74359,647.692308,647.692308,647.692308,4178.461538,4263.076923,4106.666667,646.153846,646.153846,4200,3513.846154,1701,1696,3160.344,1.032137,0,0,0,0,
3,0,0,4243.589744,647.692308,4153.846154,4091.282051,647.692308,647.692308,647.692308,4177.948718,4266.666667,4111.282051,646.153846,646.153846,4204.615385,3516.923077,1700,1698,3160.351,1.032137,0,0,0,0,
"17:12:41	",8,0,1099,4252.307692,647.692308,4152.307692,4097.435897,647.692308,647.692308,647.692308,4156.923077,4249.230769,4089.230769,646.153846,646.153846,4192.820513,3520.512821,1701,1695,3160.395,1.032137,0,0,0,0
9,0,1169,4252.820513,647.692308,4161.538462,4094.358974,647.692308,647.692308,647.692308,4170.25641,4259.487179,4101.025641,646.153846,646.153846,4196.410256,3524.102564,1701,1694,3160.4,1.032137,0,0,0,0,
10,0,639,4253.846154,647.692308,4159.487179,4092.820513,647.692308,647.692308,647.692308,4157.948718,4256.923077,4097.948718,646.153846,646.153846,4194.358974,3523.589744,1700,1693,3160.406,1.032137,0,0,0,0,
11,0,415,4247.179487,647.692308,4153.333333,4092.820513,647.692308,647.692308,647.692308,4146.153846,4246.666667,4086.666667,646.153846,646.153846,4190.769231,3527.692308,1698,1692,3160.417,1.032137,0,0,0,0,
"17:12:41	",12,0,0,4245.128205,647.692308,4158.461538,4090.769231,647.692308,647.692308,647.692308,4162.564103,4261.538462,4105.128205,646.153846,646.153846,4200,3534.871795,1699,1690,3160.424,1.032137,0,0,0,0
13,0,0,4250.769231,647.692308,4160.512821,4089.74359,647.692308,647.692308,647.692308,4168.205128,4272.820513,4118.974359,646.153846,646.153846,4202.564103,3529.74359,1697,1689,3160.429,1.032137,0,0,0,0,
14,0,639,4247.179487,647.692308,4161.538462,4090.25641,647.692308,647.692308,647.692308,4145.128205,4254.871795,4098.461538,646.153846,646.153846,4192.820513,3523.076923,1698,1689,3160.437,1.032137,0,0,0,0,
15,0,415,4250.25641,647.692308,4173.333333,4094.358974,647.692308,647.692308,647.692308,4147.692308,4264.615385,4108.205128,646.153846,646.153846,4201.538462,3533.846154,1696,1692,3160.445,1.032137,0,0,0,0,
"17:12:41	",20,0,0,4268.717949,647.692308,4164.102564,4102.051282,647.692308,647.692308,647.692308,4141.538462,4264.615385,4102.564103,646.153846,646.153846,4200.512821,3532.307692,1697,1696,3160.495,1.032137,0,0,0,0
21,0,0,4262.564103,647.692308,4165.128205,4098.461538,647.692308,647.692308,647.692308,4135.897436,4246.666667,4088.205128,646.153846,646.153846,4193.846154,3524.102564,1698,1695,3160.495,1.032137,0,0,0,0,
22,0,0,4256.410256,647.692308,4160.512821,4098.461538,647.692308,647.692308,647.692308,4137.435897,4242.051282,4085.128205,646.153846,646.153846,4191.794872,3516.410256,1698,1695,3160.499,1.032137,0,0,0,0,
23,0,0,4264.615385,647.692308,4158.461538,4101.538462,647.692308,647.692308,647.692308,4151.794872,4260,4100,646.153846,646.153846,4197.435897,3524.102564,1700,1694,3160.507,1.032137,0,0,0,0,
"17:12:41	",28,0,0,4280,647.692308,4190.769231,4113.846154,647.692308,647.692308,647.692308,4187.179487,4294.358974,4138.974359,646.153846,646.153846,4215.897436,3543.589744,1699,1692,3160.55,1.032137,0,0,0,0
29,0,0,4295.384615,647.692308,4180.512821,4116.923077,647.692308,647.692308,647.692308,4198.974359,4306.153846,4152.820513,646.153846,646.153846,4223.589744,3547.692308,1700,1693,3160.554,1.032137,0,0,0,0,
30,0,0,4309.74359,647.692308,4175.384615,4122.051282,647.692308,647.692308,647.692308,4220,4318.974359,4170.769231,646.153846,646.153846,4235.897436,3555.384615,1699,1692,3160.562,1.032137,0,0,0,0,
31,0,0,4314.358974,647.692308,4174.358974,4123.076923,647.692308,647.692308,647.692308,4214.358974,4317.948718,4168.717949,646.153846,646.153846,4236.923077,3560,1699,1693,3160.57,1.032137,0,0,0,0,
"17:12:41	",32,0,0,4315.384615,647.692308,4173.846154,4122.564103,647.692308,647.692308,647.692308,4179.487179,4302.564103,4148.205128,646.153846,646.153846,4227.179487,3557.435897,1700,1692,3160.58,1.032137,0,0,0,0
