Delta,Theta,Alpha ,Beta,Gamma
8.106983,10.173946,8.866225,23.773509,14.909462
8.093195,10.17863,8.859544,23.768384,16.25594
8.074431,10.08511,8.852098,23.763757,14.907561
8.052921,10.009326,8.904253,23.759763,14.906422
8.041825,9.97562,8.962071,23.756529,14.905162
8.056171,9.918256,8.837816,23.754183,14.903777
8.075435,9.856216,8.744635,23.75281,14.902283
8.089919,9.727557,8.697915,23.752458,14.919501
8.098473,9.605886,8.674047,23.753131,14.977856
8.101498,9.526259,8.660229,23.754751,15.031839
8.099075,9.477544,8.64786,23.757243,15.081579
8.091335,9.415127,9.075205,23.760486,15.127094
8.295963,9.302103,8.636629,23.764358,15.16949
8.24498,9.246331,9.303319,23.768769,15.21102
8.698864,9.288419,8.58639,23.773606,15.252838
8.458547,9.365772,9.967175,23.778767,15.296056
8.839675,9.40691,8.538682,23.784171,15.341649
8.853365,9.374106,10.184974,23.789769,15.390738
9.073555,9.293606,9.168486,23.795595,15.445519
9.23707,9.185091,10.06363,23.801703,15.507244
9.345421,9.078951,9.572091,23.808133,15.575772
9.492297,9.017722,10.520357,23.815012,15.652329
9.573062,9.019088,10.455681,23.822509,15.738104
10.036664,9.061402,10.769928,23.830712,15.831766
9.787392,9.109709,10.822908,23.839725,15.93254
10.217832,9.129392,11.501621,23.849575,16.038188
9.967145,9.137403,11.366561,23.860221,16.145888
10.375781,9.125049,12.09144,23.87166,16.25442
10.502932,9.070365,12.381254,23.88384,16.36212
10.609793,9.009985,12.17939,23.896752,16.468687
10.58985,9.025093,13.422454,23.910396,16.574213
10.556851,9.049748,12.563063,23.924667,16.677005
11.137758,9.042394,13.925533,23.939482,16.776141
10.85779,8.980042,13.171118,23.954731,16.870514
11.797101,8.907741,13.548149,23.96303,16.953975
11.826047,8.881855,13.534707,23.955491,17.020233
11.872964,8.853293,13.535353,23.945723,17.07942
11.933491,8.822125,13.553331,23.933529,17.130264
12.000331,8.788272,13.593204,23.918785,17.171897
12.062072,8.751778,13.655466,23.901457,17.20424
12.092804,8.712986,13.749141,23.881557,17.228425
12.046484,8.672107,13.875694,23.859093,17.244874
11.924673,8.629192,14.042653,23.834141,17.253776
11.78398,8.584327,14.244386,23.806805,17.255858
11.657921,8.537362,14.507346,23.777237,17.252036
11.555416,8.488091,14.856223,23.745613,17.243074
11.477244,8.43622,15.238517,23.712128,17.23022
11.419677,8.381314,15.117922,23.67702,17.21512
11.375156,8.322788,15.008171,23.640514,17.197854
11.334365,8.26027,14.979831,23.602826,17.178625
11.289703,8.193653,15.019865,23.564184,17.15845
11.237973,8.122966,15.107139,23.524824,17.137903
11.181685,8.048259,15.230146,23.484944,17.118965
11.125907,7.970222,15.39454,23.444846,17.101134
11.07461,7.890272,15.596792,23.405016,17.08128
11.029554,7.809522,15.844689,23.365873,17.058671
10.99079,7.72953,16.151687,23.327944,17.031441
10.957009,7.652677,16.536526,23.291999,16.995024
10.926109,7.581833,17.015006,23.258962,17.274844
10.896526,7.520551,16.913737,23.229881,17.076284
10.867063,7.470141,16.373382,23.205233,16.769175
10.836434,7.430056,16.005034,23.18487,16.646307
10.803347,7.399399,15.737753,23.168362,16.503472
10.766368,7.376615,15.536941,23.155036,16.345344
10.723576,7.359908,15.380028,23.144159,16.176943
10.672279,7.347699,15.257752,23.13512,16.002329
10.60933,7.338715,15.160944,23.127438,15.824754
10.530983,7.331933,15.083928,23.120735,15.64722
10.431888,7.326632,15.023659,23.114757,15.472026
10.302777,7.322375,14.979288,23.109369,15.300571
10.14911,7.318925,14.951096,23.104515,15.13364
10.129651,7.316161,14.937162,23.100188,14.971737
10.159248,7.314046,14.931564,23.096409,14.948381
10.1557,7.312575,14.934635,23.093225,14.95145
10.130891,7.311912,14.943367,23.090702,14.954414
10.091594,7.312295,14.957094,23.088911,14.957262
10.04123,7.313781,14.975509,23.087889,14.959992
9.980853,7.316343,14.997365,23.087643,14.962605
9.909056,7.319801,15.022616,23.088125,14.965103
9.821873,7.324033,15.054027,23.089309,14.967489
9.753831,7.329156,15.093182,23.091244,16.119469
9.758492,7.335107,15.119687,23.093909,14.97192
9.755851,7.341695,15.149577,23.09724,14.973964
9.743438,7.348631,15.182506,23.101125,14.975889
9.726444,7.355619,15.217253,23.105432,14.977687
9.706565,7.362611,15.252562,23.110157,14.979362
9.684468,7.369569,15.289005,23.115276,14.980913
9.660316,7.376413,15.324375,23.120689,14.982328
9.634555,7.383031,15.359245,23.126368,14.983606
9.607979,7.389324,15.393627,23.132337,14.984757
9.58102,7.395034,15.42841,23.138596,14.985783
9.556399,7.39977,15.465316,23.145137,14.986682
9.539998,7.403151,15.506121,23.15193,14.987442
9.524394,7.404751,15.552695,23.158943,14.988056
9.509634,7.403999,15.604797,23.166172,14.988542
9.495299,7.400661,15.661451,23.173611,14.988907
9.480869,7.394845,15.721758,23.181246,14.989157
9.465811,7.386836,15.783781,23.189051,14.989288
9.450172,7.376926,15.847846,23.196973,14.989288
9.435918,7.365411,15.912431,23.204954,14.989167
9.4281,7.352506,15.973522,23.212931,14.988935
9.431832,7.338336,16.030841,23.22082,14.988589
9.445802,7.322916,16.090322,23.228517,14.988126
9.464582,7.306137,16.153183,23.235891,14.987546
9.48408,7.287779,16.219785,23.242793,14.986844
9.501755,7.267493,16.288987,23.249047,14.986015
9.516074,7.244758,16.363227,23.254414,14.985064
9.52518,7.218606,16.447991,23.258442,14.984026
9.528454,7.187428,16.546478,23.2604,14.982961
9.526506,7.149158,16.660808,23.25938,14.981917
9.519629,7.101507,16.794906,23.254391,14.98092
9.509114,7.042329,16.954385,23.244534,14.979979
9.496846,6.970587,17.146085,23.229323,14.979098
9.4836,6.890467,17.37378,23.210036,14.978318
9.469349,6.830721,17.640197,23.197587,14.977687
9.455674,6.856364,17.882806,23.217516,14.977236
9.44254,6.97222,17.902941,23.270907,14.977005
9.430374,7.11466,17.669992,23.331174,14.977039
9.420294,7.251687,17.40056,23.384905,14.977352
9.413759,7.378121,17.165584,23.429357,14.977954
9.411938,7.49593,16.976743,23.464537,14.978858
9.415468,7.607953,16.832206,23.491055,14.980064
9.424937,7.716553,16.732101,23.509436,14.981565
9.442596,7.835224,16.674111,23.520037,14.983356
9.476907,7.966301,16.643423,23.523202,14.985427
9.51798,8.096075,16.576614,23.519218,14.987771
9.566411,8.225107,16.351971,23.508672,14.990372
9.622785,8.353618,15.935027,23.492357,14.993209
9.687158,8.481689,15.434523,23.470964,14.996262
9.75884,8.608929,14.940873,23.44536,14.999508
9.836442,8.735108,14.475291,23.416292,15.002921
9.918509,8.859982,14.033322,23.384479,15.006477
10.0035,8.983538,13.613427,23.350592,15.010151
10.089843,9.105726,13.205408,23.31517,15.013917
10.176012,9.22668,12.807312,23.278642,15.017753
10.260514,9.346252,12.42194,23.241387,15.021637
10.341445,9.46397,12.058503,23.20373,15.025548
10.416196,9.579352,11.72555,23.165907,15.02947
