Delta,Theta,Alpha ,Beta,Gamma
14.372245,9.027366,13.756784,21.802752,15.1028
14.459848,8.965942,13.652108,21.828921,15.10118
14.543226,8.909943,13.562998,21.84891,15.099728
14.62306,8.857563,13.486238,21.862842,15.098431
14.699965,8.805316,13.419395,21.871184,15.097293
14.760401,8.765671,13.360749,21.874607,15.404837
14.869963,8.780276,13.309225,21.873883,15.095479
14.977938,8.786967,13.26407,21.869848,15.094779
15.091932,8.787588,13.224604,21.863325,15.094212
15.209343,8.788109,13.191177,21.855036,15.093768
15.329256,8.793504,13.165453,21.845572,15.093435
15.449303,8.809716,13.150109,21.835413,15.093199
15.571302,8.840767,13.146624,21.824976,15.093058
15.695829,8.883623,13.152116,21.814546,15.093002
15.812747,8.931758,13.16153,21.804326,15.093015
15.917767,8.980751,13.171543,21.794498,15.093095
16.012014,9.028354,13.179974,21.785171,15.093231
16.087659,9.073451,13.18552,21.776423,15.093414
16.134901,9.115434,13.187628,21.768325,15.093642
16.15181,9.154094,13.186037,21.760923,15.093909
16.143296,9.189373,13.180345,21.754232,15.094209
16.11919,9.221319,13.170453,21.748261,15.094533
16.088754,9.249973,13.156737,21.74303,15.094879
16.055474,9.275394,13.139346,21.738544,15.095244
16.020261,9.297776,13.118394,21.734799,15.09562
15.981209,9.31761,13.094262,21.731775,15.096
15.933369,9.335289,13.067288,21.729453,16.16849
15.873149,9.351123,13.037337,21.727827,18.968715
15.820497,9.365149,13.004508,21.726886,16.062619
15.767832,9.377401,12.968942,21.726613,15.097434
15.691827,9.388583,12.930595,21.727009,15.097743
15.615507,9.399133,12.889391,21.728078,15.601755
15.568674,9.409154,12.845104,21.729825,15.098254
15.539833,9.418558,12.797522,21.732256,15.09844
15.514491,9.427126,12.746266,21.735378,15.098568
15.484651,9.434668,12.691045,21.739202,15.098628
15.447971,9.441164,12.631971,21.743736,15.098611
15.402314,9.446712,12.569472,21.748988,15.098509
15.347159,9.451482,12.504133,21.754966,15.098314
15.279945,9.455692,12.436607,21.761674,15.098019
15.190533,9.459642,12.367838,21.769127,15.097613
15.074208,9.463484,12.298667,21.777341,15.097087
14.926892,9.467136,12.229832,21.786338,15.096426
14.74672,9.47033,12.161842,21.796148,15.095615
14.543513,9.472932,12.094885,21.806795,15.094643
14.337625,9.474997,12.032037,21.818302,15.093497
14.157663,9.476687,11.970964,21.830689,15.09217
13.994321,9.478217,11.91004,21.843977,15.090653
13.80954,9.479765,11.849215,21.858191,15.088936
13.676597,9.481377,11.788505,21.873352,15.087012
13.561585,9.482975,11.727973,21.889465,15.084877
13.426304,9.484417,11.667699,21.906547,15.082526
13.280801,9.485586,11.607735,21.924615,15.079954
13.130449,9.486374,11.548078,21.943714,15.077151
13.006128,9.486793,11.488626,21.963908,15.074106
12.908382,9.486882,11.429259,21.985244,15.767597
13.00265,9.486677,11.369803,22.007784,17.231333
12.593698,9.486157,11.314503,22.031521,15.063432
12.251401,9.485232,11.26281,22.056452,15.059348
11.968485,9.483544,11.212749,22.082673,15.05499
11.707933,9.480755,11.164517,22.110286,15.050346
11.459311,9.476755,11.118321,22.139316,15.045413
11.208738,9.471546,11.074334,22.169723,16.682709
11.053352,9.465122,11.032801,22.201564,15.03467
10.913655,9.457538,10.993913,22.234931,15.028852
10.762562,9.448888,10.957741,22.269898,15.022729
10.6052,9.439297,10.924261,22.306552,20.422998
10.441542,9.428815,10.893706,22.344892,15.009558
10.295263,9.417576,10.866591,22.384862,15.002515
10.276878,9.406315,10.843667,22.426466,14.995177
10.257128,9.396679,10.826656,22.469648,14.987558
10.236025,9.393266,10.820052,22.514271,14.979682
10.213598,9.416863,10.843439,22.560146,16.817485
10.189927,9.387273,10.8221,22.607069,17.374371
10.165114,9.282964,10.736082,22.654758,14.954945
10.139211,9.210415,10.684648,22.702709,14.946555
10.112323,9.145973,10.645285,22.750281,14.938264
10.084615,9.085133,10.613526,22.796711,14.930225
10.056267,9.026712,10.588014,22.841094,14.922618
10.027507,8.970579,10.568411,22.882326,14.91565
9.998586,8.917053,10.554867,22.919132,14.936847
9.969708,8.86672,10.547745,22.950217,15.041527
9.941117,8.820085,10.547487,22.974348,15.120228
9.912926,8.777589,10.554443,22.990516,15.16952
9.885074,8.739392,10.568821,22.998127,15.187851
9.857476,8.705348,10.590642,22.997115,15.175331
9.830001,8.675084,10.61967,22.987892,15.133561
9.802415,8.647965,10.655489,22.971256,15.065741
9.774404,8.623139,10.69759,22.948271,14.976532
9.745613,8.599623,10.745404,22.920147,14.918457
9.715691,8.576583,10.798289,22.888155,14.925522
9.684322,8.553266,10.855686,22.853432,14.933086
9.651219,8.528829,10.917197,22.81689,14.940963
9.616104,8.502462,10.98253,22.779273,14.948989
9.578771,8.473708,11.051453,22.741285,14.964039
9.539079,8.442254,11.123837,22.703492,14.965025
9.496947,8.407827,11.199626,22.66636,14.972872
9.452382,8.370245,11.278797,22.630349,14.980533
9.405557,8.329794,11.361067,22.595839,14.987973
9.356871,8.28734,11.445836,22.563192,14.995164
9.306855,8.244084,11.532162,22.532956,15.002085
9.256308,8.201867,11.618624,22.505832,15.008724
9.206374,8.163323,11.703365,22.482565,15.015074
9.158293,8.132371,11.783766,22.463916,15.02113
9.113261,8.114515,11.856112,22.450542,15.026886
9.072287,8.114871,11.916614,22.442821,15.032338
9.035693,8.133948,11.964423,22.440686,15.037489
9.00292,8.166433,12.002403,22.443647,15.042347
8.973063,8.204404,12.034725,22.450981,15.046915
8.945342,8.241318,12.064589,22.461947,15.051196
8.919182,8.273923,12.093505,22.475918,15.055201
8.894546,8.300971,12.121044,22.492411,15.058951
8.872001,8.321632,12.145559,22.511034,15.062452
8.852513,8.335515,12.164894,22.531475,15.065701
8.837432,8.342752,12.176325,22.55361,15.068712
8.827661,8.343945,12.178361,22.577469,15.07151
8.822394,8.340478,12.173275,22.603038,15.074104
8.819622,8.334142,12.1659,22.630292,15.076503
8.817308,8.326393,12.161057,22.659359,15.078725
8.813814,8.318061,12.162414,22.690516,15.080794
8.807846,8.309457,12.172465,22.723924,15.082723
8.798562,8.30055,12.192381,22.759668,15.084514
8.785464,8.29127,12.221886,22.797971,15.086183
8.768276,8.281689,12.259375,22.83918,15.087749
8.747062,8.272152,12.302555,22.883392,15.089216
8.722283,8.263594,12.348136,22.930455,15.090584
8.694822,8.258205,12.391255,22.979985,15.091858
8.666158,8.261843,12.425295,23.031093,15.093044
8.638213,8.283687,12.442904,23.082062,15.094158
8.613183,8.32672,12.438344,23.129705,15.095223
8.594158,8.394351,12.40937,23.168641,15.096249
8.586676,8.484007,12.36532,23.192012,15.097241
8.603733,8.558036,12.345685,23.194112,15.098204
8.658634,8.562962,12.398756,23.173868,15.099144
8.738648,8.529283,12.499532,23.135706,15.100063
8.825194,8.504221,12.605597,23.086574,15.100964
8.910625,8.496807,12.703263,23.032682,17.252638
8.9927,8.498458,12.786843,22.978225,15.102705
9.071037,8.489877,12.843497,22.925482,15.103539
9.145831,8.466355,12.873148,22.875479,16.018071
9.217267,8.439813,12.890805,22.828592,15.105137
9.285301,8.413396,12.90316,22.784924,15.105896
9.349708,8.386156,12.912879,22.744526,15.106607
9.410451,8.356815,12.921391,22.70724,15.10726
9.467627,8.324755,12.929603,22.672786,15.107857
9.521358,8.292825,12.938876,22.640926,15.108397
9.571788,8.275739,12.953049,22.611479,15.108858
9.619075,8.283282,12.974581,22.584259,15.109225
9.663388,8.298552,13.000137,22.559081,15.109487
9.704903,8.311794,13.027728,22.535775,15.109629
9.743705,8.32174,13.056795,22.514284,15.109666
9.779891,8.329045,13.086924,22.494566,15.109613
9.813704,8.334902,13.116988,22.476494,15.10947
9.845406,8.340568,13.145358,22.459968,15.109234
9.875195,8.34726,13.170242,22.44496,15.108915
9.903356,8.356328,13.189226,22.431409,15.108518
9.930247,8.369063,13.199846,22.41918,15.108035
9.956156,8.3862,13.20072,22.408113,15.107453
9.981138,8.407493,13.192384,22.398137,16.324615
10.005088,8.431973,13.176808,22.389228,17.210533
10.027877,8.458455,13.156408,22.381348,15.105087
10.049411,8.485918,13.133231,22.374456,15.104089
10.069618,8.513663,13.108607,22.368562,15.102992
10.088455,8.541269,13.083336,22.363685,15.101806
10.105963,8.568517,13.057808,22.359754,15.100525
10.122212,8.595279,13.032129,22.35672,15.099146
10.137259,8.621454,13.006324,22.354569,15.09767
10.152927,8.646999,12.980301,22.353278,15.096101
10.168028,8.671919,12.953878,22.352822,15.094443
10.182019,8.696276,12.926789,22.353156,15.092704
10.194988,8.720105,12.898836,22.354233,15.09089
10.206915,8.74331,12.870083,22.356045,15.089003
10.217832,8.765848,12.840429,22.358571,15.087044
10.22792,8.787736,12.809309,22.361731,15.08502
10.237284,8.808941,12.776428,22.365468,15.082939
10.245868,8.829386,12.741975,22.369781,15.080805
10.253779,8.849041,12.705693,22.374589,15.078624
10.261113,8.867873,12.667347,22.379804,15.076406
10.267896,8.885806,12.626881,22.385374,15.074159
10.274141,8.90276,12.584276,22.391245,15.071892
10.279861,8.918676,12.539537,22.397352,15.069615
10.285068,8.933503,12.492691,22.40363,15.067337
10.289772,8.947198,12.443788,22.410003,15.06507
10.293986,8.959698,12.392941,22.416349,15.062824
10.297739,8.970926,12.340239,22.422548,15.060609
10.301097,8.980824,12.285608,22.428532,15.058444
10.304119,8.989322,12.229082,22.434215,15.056344
10.30688,8.99631,12.170766,22.439498,15.054322
10.309497,9.001644,12.110679,22.444288,15.052395
10.312089,9.005097,12.048963,22.448497,15.050577
10.314849,9.006464,11.985565,22.452025,15.048889
10.317941,9.005514,11.920604,22.454795,15.047345
10.321512,9.001957,11.854367,22.456751,18.132164
10.325744,8.995465,11.787069,22.45784,15.044744
10.33085,8.985676,11.718842,22.458002,15.043717
10.337016,8.972248,11.649787,22.457214,15.04289
10.344411,8.95486,11.58001,22.45543,15.042278
10.35316,8.933221,11.509633,22.452579,18.858233
10.363303,8.907083,11.438726,22.448603,15.041766
10.374762,8.8762,11.367165,22.443505,15.041888
10.387349,8.840242,11.29465,22.437328,15.042269
10.400836,8.7988,11.221062,22.429975,15.042921
10.414942,8.751078,11.145956,22.421367,15.043854
10.429363,8.695408,11.068253,22.411443,15.045071
10.443818,8.628125,10.985616,22.400076,15.046577
10.457953,8.540989,10.89276,22.387382,15.048357
10.47134,8.413369,10.776605,22.373598,15.050388
10.484182,8.323141,10.685804,22.358839,15.393637
10.497214,8.430732,10.720744,22.343182,15.055132
10.508878,8.492448,10.728783,22.326695,15.057812
10.519166,8.526829,10.721526,22.309429,15.060675
10.528064,8.5471,10.707262,22.291567,15.33801
10.535531,8.558863,10.689518,22.273268,15.06684
10.541529,8.56494,10.670092,22.254634,15.070095
10.546032,8.56687,10.649986,22.235756,15.073439
10.549022,8.565544,10.629742,22.216678,15.076856
10.55048,8.561442,10.609889,22.197551,15.875004
10.550393,8.554725,10.590907,22.178556,15.083803
10.548766,8.545459,10.573109,22.159806,15.087284
10.545619,8.533647,10.556749,22.141392,15.090745
10.540971,8.519232,10.542065,22.123397,15.094169
10.534842,8.502139,10.529297,22.105891,15.09754
10.527254,8.482292,10.5187,22.088931,15.100845
10.51823,8.459609,10.510552,22.072559,15.104071
10.507768,8.434059,10.50512,22.056803,15.107204
10.495863,8.405593,10.502685,22.041679,15.110234
10.482512,8.374129,10.503531,22.027188,15.113151
10.467736,8.33956,10.508032,22.013332,15.11595
10.45154,8.301744,10.516507,22.00009,15.118626
10.433908,8.260486,10.529188,21.987408,15.121166
10.414797,8.215731,10.546373,21.975267,15.12357
10.394163,8.16749,10.568384,21.963642,15.125836
10.371961,8.115842,10.595543,21.952488,15.127959
10.348073,8.060891,10.628114,21.941778,15.129941
10.322356,8.002785,10.666365,21.931483,15.131781
10.294685,7.941831,10.71062,21.92156,15.133478
10.264918,7.87839,10.761164,21.911972,15.135031
10.233011,7.812776,10.818076,21.902682,15.136436
10.198877,7.745526,10.881513,21.893696,15.13769
10.162402,7.677386,10.951759,21.885064,15.138793
10.123519,7.609273,11.029087,21.876902,15.139744
10.08224,7.542394,11.11377,21.869423,15.140542
10.038684,7.478357,11.206145,21.862989,15.141187
9.993067,7.419133,11.306653,21.858124,15.141677
9.945657,7.367106,11.416043,21.85552,15.142012
9.896549,7.325016,11.535938,21.855989,15.142192
9.845109,7.295338,11.670063,21.8603,15.142216
9.789429,7.280161,11.825882,21.868868,15.142081
9.724996,7.279818,12.017849,21.881644,15.141788
9.646117,7.292023,12.275424,21.89814,15.141336
9.524195,7.388992,12.67594,21.917602,15.140722
9.225825,7.596905,13.635363,21.939224,15.659064
9.368333,7.555644,13.209954,21.962281,15.13901
9.588817,7.521804,12.538277,21.986196,15.137914
9.703441,7.617434,12.197075,22.010569,15.136662
9.781419,7.692434,11.96778,22.035149,15.135261
9.839853,7.758528,11.794535,22.059807,15.133715
9.885623,7.822084,11.654134,22.084513,15.132033
9.922193,7.884421,11.534691,22.109316,15.130221
9.951814,7.946223,11.428823,22.134186,15.128282
9.975953,8.008061,11.331877,22.159067,15.126215
9.995422,8.07031,11.241342,22.184034,15.124031
10.010788,8.133235,11.155677,22.209187,15.121743
10.022439,8.196941,11.073981,22.234648,15.119367
10.030664,8.261371,10.995599,22.260537,15.116918
10.035772,8.326469,10.919881,22.286852,15.1144
10.037998,8.39214,10.8463,22.313594,15.11182
10.037512,8.458299,10.774494,22.340768,15.109186
10.034448,8.524859,10.704463,22.368283,15.106493
10.02892,8.591754,10.636175,22.396045,15.103741
10.021053,8.659041,10.569411,22.423992,15.100943
10.010975,8.726791,10.503923,22.452061,15.098115
9.99882,8.79502,10.439498,22.480174,15.09528
9.984694,8.863717,10.375963,22.508239,15.092459
9.968677,8.932899,10.313132,22.536153,15.089669
9.950829,9.00261,10.250763,22.563808,15.086927
9.931205,9.072883,10.18853,22.5911,15.084246
9.909844,9.14371,10.126007,22.617967,15.081629
9.886813,9.215088,10.06286,22.644324,15.079087
9.862211,9.287081,9.998836,22.669994,15.076647
9.836145,9.359717,9.933777,22.694786,15.07434
9.808768,9.432735,9.867869,22.7186,15.072186
9.780237,9.506036,9.801256,22.741211,15.070222
9.7506,9.580409,9.733594,22.762058,15.068524
9.719868,9.656674,9.664704,22.780614,15.067167
9.688125,9.735136,9.594903,22.796657,15.066183
9.655526,9.815851,9.524987,22.810038,15.065597
9.622307,9.89868,9.45636,22.820403,15.065452
9.588819,9.983212,9.391041,22.827528,15.065772
9.555541,10.068749,9.331707,22.831364,15.066558
9.523214,10.154037,9.282198,22.831898,15.067805
9.493057,10.23685,9.248116,22.828997,15.069514
9.466441,10.314165,9.235294,22.822625,15.071672
9.444439,10.382959,9.24787,22.812954,15.074242
9.427804,10.440486,9.287711,22.800114,19.682774
9.416584,10.485693,9.353264,22.784439,15.42316
9.410441,10.518866,9.440651,22.766252,15.084004
9.409062,10.541049,9.545548,22.745692,15.087783
9.412246,10.553249,9.663821,22.722954,15.091764
9.419832,10.556385,9.791717,22.698269,15.095909
9.431564,10.551424,9.926115,22.671907,15.100181
9.446954,10.539927,10.064211,22.644129,15.10455
9.465348,10.524342,10.203099,22.615139,15.108993
9.486184,10.507309,10.339804,22.585184,15.11349
9.509185,10.491234,10.470967,22.554566,15.118012
9.534551,10.478463,10.59209,22.523563,15.122533
9.573437,10.471027,10.697595,22.49245,15.127029
9.647676,10.470562,10.780948,22.461398,15.131486
9.742059,10.478095,10.835777,22.430512,15.135899
9.869732,10.493922,10.857841,22.3999,15.140255
10.060586,10.517459,10.847164,22.369611,15.144546
10.420293,10.547644,10.808538,22.33969,17.427161
10.981065,10.583252,10.749471,22.310151,17.544735
10.266553,10.623246,10.677422,22.280948,15.156959
10.022128,10.666989,10.59839,22.252038,15.16095
10.072396,10.714105,10.516453,22.223385,15.164877
10.138094,10.764245,10.434469,22.195018,15.168727
10.201063,10.817244,10.354128,22.166993,15.172484
10.260945,10.912103,10.276061,22.139336,15.176143
10.317545,11.015481,10.200397,22.112073,15.179706
10.370803,11.121594,10.126849,22.085254,15.183153
10.420704,11.23055,10.054746,22.058939,15.186468
10.467151,11.342682,9.983337,22.033169,15.189649
10.510138,11.458173,9.91135,22.007986,15.192694
10.549831,11.576738,9.836873,21.983425,15.195591
10.586404,11.697912,9.75734,21.959526,15.198332
10.61983,11.82191,9.669308,21.936342,15.200924
10.649913,11.949972,9.569066,21.913921,15.20337
10.676195,12.084742,9.453443,21.892305,15.205673
10.698121,12.22956,9.321199,21.871521,15.20783
10.717047,12.379425,9.17857,21.851591,15.209841
10.742549,12.492466,9.056916,21.832565,15.211708
10.790757,12.497995,9.007286,21.814467,15.213432
10.855979,12.423262,9.01448,21.797299,15.215007
10.922038,12.334067,9.031412,21.781065,15.21643
10.983181,12.221093,9.043274,21.765785,15.217699
11.038783,12.089066,9.04833,21.751453,15.218808
11.089381,11.970461,9.0465,21.738055,15.219751
11.135751,11.868607,9.039838,21.725619,15.220526
11.178435,11.779972,9.029952,21.714158,15.221131
11.217787,11.701684,9.017835,21.703671,15.221561
11.254131,11.631414,9.00429,21.694179,15.221813
11.287716,11.567378,8.989927,21.685689,15.221884
11.318714,11.508343,8.975162,21.6782,16.548454
11.347251,11.45536,8.960192,21.671729,15.221473
11.373437,11.40734,8.945223,21.666289,15.220982
11.397335,11.362605,8.930286,21.6619,15.220297
11.418978,11.320903,8.915313,21.658592,15.219412
11.438454,11.281884,8.900478,21.656376,15.218323
11.455832,11.245202,8.885897,21.655266,15.217028
11.471176,11.210543,8.871674,21.65527,16.180733
11.484553,11.177627,8.857981,21.656415,15.213807
11.496024,11.146225,8.844967,21.658728,15.21187
11.505608,11.116137,8.832595,21.662222,15.20971
11.513333,11.087141,8.820868,21.666913,15.207326
11.519212,11.059154,8.809765,21.672809,15.204718
11.523257,11.032066,8.799263,21.67992,15.201884
11.525483,11.005622,8.789321,21.688272,15.19882
11.525911,10.979583,8.779924,21.697883,15.195524
11.524551,10.953775,8.771052,21.708768,15.191994
11.52143,10.927891,8.762723,21.720932,15.188232
11.516594,10.901539,8.755026,21.734351,15.184244
11.510044,10.874594,8.747952,21.749041,15.180029
11.501776,10.847004,8.741505,21.765017,15.865015
11.491785,10.81869,8.735677,21.782304,15.170912
11.480067,10.789617,8.730482,21.800907,15.166008
11.466623,10.759751,8.725941,21.820811,15.160878
11.451453,10.729004,8.722074,21.842037,15.15552
11.43456,10.69727,8.718915,21.864617,15.149931
11.41595,10.66439,8.7165,21.888595,15.144107
11.395645,10.630062,8.714862,21.914045,15.13804
11.373659,10.594034,8.714026,21.941024,15.131723
11.35,10.556165,8.71405,21.969561,15.125153
11.32468,10.516333,8.715049,21.999662,15.118327
11.297708,10.474388,8.717109,22.031352,15.11124
11.269094,10.43013,8.720287,22.064676,15.103887
11.238857,10.383304,8.724656,22.099669,15.096261
11.207016,10.333674,8.730296,22.136378,17.774351
11.173602,10.280971,8.737292,22.174848,15.080159
11.138635,10.224919,8.74576,22.215133,15.071667
11.102136,10.165288,8.755823,22.257291,15.062865
11.064136,10.101917,8.767608,22.301385,15.053737
11.02466,10.034623,8.781252,22.34749,15.044259
10.983725,9.963276,8.796823,22.395714,15.034396
10.941342,9.88772,8.814335,22.446207,15.0241
10.897532,9.807665,8.833879,22.499156,15.013319
10.852314,9.72271,8.855561,22.554815,15.001985
10.805678,9.632329,8.879502,22.613541,15.159174
10.757574,9.535961,8.905785,22.675753,15.370123
10.707883,9.432994,8.934401,22.741966,15.598382
10.65641,9.327022,8.965174,22.812839,15.846863
10.602845,9.222833,8.997649,22.88924,16.119276
10.546727,9.110829,9.030953,22.972377,16.420655
10.487477,8.991466,9.063631,23.063837,16.757391
10.424397,8.865937,9.093582,23.165732,17.137723
10.356437,8.735354,9.118239,23.281195,17.573704
10.282019,8.598722,9.135237,23.414924,18.083143
10.198868,8.450744,9.142548,23.574027,18.692694
10.103477,8.281027,9.136838,23.770501,19.446944
9.990232,8.072783,9.109128,24.026628,20.428141
9.852751,7.796356,9.034222,24.389901,21.810738
9.674824,7.380308,8.835617,24.987418,24.059659
9.45599,6.821404,8.473677,25.845261,27.263525
9.593394,7.319718,9.02692,24.927321,23.929856
9.715522,7.695208,9.321316,24.301426,21.64532
9.824456,7.957966,9.425514,23.916514,20.233396
9.915837,8.161129,9.458671,23.641625,19.226102
9.990397,8.324248,9.467744,23.427056,18.446549
10.051167,8.458711,9.469428,23.250175,17.813172
10.100822,8.572049,9.46985,23.098881,17.281302
10.141515,8.669434,9.471162,22.966139,16.824769
10.174878,8.754586,9.474042,22.847452,16.426603
10.202169,8.830265,9.478464,22.739765,16.074782
10.224379,8.898444,9.484103,22.640952,15.760879
10.242256,8.960478,9.49059,22.549477,15.478963
10.256358,9.01735,9.497585,22.464176,15.224602
10.267063,9.069745,9.504861,22.384145,15.006226
10.274602,9.118183,9.512372,22.308666,15.019636
10.279049,9.163235,9.520379,22.237129,15.032102
10.28036,9.205346,9.529428,22.169052,15.043723
10.278357,9.244976,9.540499,22.104042,15.054576
10.27272,9.282729,9.555118,22.04176,15.064725
10.262957,9.31923,9.575482,21.981923,15.074219
10.24841,9.354994,9.604817,21.92426,15.083102
10.228241,9.41547,9.647889,21.868509,15.091419
10.201631,9.506997,9.708752,21.814448,15.099209
10.170391,9.602505,9.766386,21.761894,15.106514
10.146802,9.662363,9.700097,21.710747,15.113364
10.132464,9.683102,9.489379,21.661021,15.119779
10.113443,9.713995,9.25981,21.612903,15.12577
10.086357,9.771553,9.036101,21.566863,15.131344
10.051422,9.883037,8.806884,21.523792,15.136505
10.009239,10.049944,8.556197,21.485079,15.141269
9.962785,10.261188,8.276314,21.45245,15.145646
9.935781,10.45332,8.039446,21.427308,15.149655
9.980511,10.4663,8.032104,21.409908,15.15332
10.06655,10.384377,8.147481,21.399164,15.156666
10.153578,10.317574,8.248442,21.393271,15.159712
10.235485,10.272145,8.323794,21.390489,15.162472
10.312476,10.238872,8.382827,21.389538,15.164956
10.384886,10.211738,8.432482,21.389593,15.167174
10.45278,10.191858,8.476422,21.390184,15.169138
10.516149,10.17942,8.516448,21.391073,15.170863
10.575011,10.169437,8.553496,21.392169,15.172371
10.629502,10.162836,8.58822,21.393463,15.173686
10.67986,10.159997,8.621281,21.394986,15.174821
10.726354,10.16093,8.653008,21.396799,15.175798
10.769265,10.165404,8.683698,21.398976,15.176638
10.808867,10.173136,8.713656,21.401591,15.177362
10.84537,10.183917,8.743194,21.404695,15.177984
10.878916,10.197434,8.772468,21.408302,15.178504
10.909645,10.213385,8.801608,21.412435,15.178927
10.937699,10.231583,8.830763,21.417131,15.179263
10.963191,10.251655,8.859966,21.422409,15.179516
10.986229,10.273173,8.889152,21.42829,15.179694
11.006915,10.295695,8.918241,21.434789,15.179806
11.025337,10.318874,8.947238,21.441913,15.179856
11.041571,10.342451,8.976192,21.449664,15.179845
11.055681,10.366168,9.005124,21.458048,15.179772
11.067739,10.389823,9.03404,21.467072,15.179634
11.07782,10.413313,9.062999,21.476736,15.179435
11.086004,10.436578,9.09209,21.487032,15.179177
11.092362,10.459575,9.121405,21.497946,15.178863
11.096974,10.482282,9.150981,21.50948,15.178494
11.099919,10.504665,9.180848,21.521628,15.178073
11.101262,10.526648,9.211029,21.534361,15.1776
11.101087,10.548208,9.241556,21.547663,15.177078
11.099474,10.569356,9.272449,21.561506,15.17651
11.096509,10.590073,9.303702,21.575861,15.175899
11.092284,10.610329,9.335278,21.590703,15.175246
11.086901,10.630165,9.367114,21.60598,15.174555
11.080464,10.649624,9.399079,21.621635,15.173829
11.073076,10.668725,9.430942,21.637616,15.173073
11.064855,10.687483,9.462337,21.653856,15.172289
11.055908,10.705918,9.492858,21.670285,15.171484
11.046328,10.724031,9.522159,21.686827,15.170663
11.036226,10.741738,9.550068,21.703397,15.169832
11.025712,10.758865,9.576753,21.719901,15.168994
11.014885,10.775086,9.602684,21.736242,15.168156
11.003823,10.789904,9.628402,21.752308,15.167324
10.992591,10.802644,9.654444,21.767976,15.166507
10.981243,10.812536,9.681285,21.783125,15.16571
10.969812,10.818905,9.70919,21.797655,15.164939
10.958327,10.821448,9.738307,21.811472,15.164199
10.94689,10.820398,9.769043,21.824417,16.288514
10.93561,10.81628,9.801756,21.836345,15.16285
10.92465,10.809612,9.836908,21.847099,15.162259
10.914143,10.800856,9.874948,21.856621,15.161729
10.90426,10.790153,9.916414,21.86488,16.682655
10.895293,10.777168,9.962063,21.871752,15.160868
10.887551,10.761176,10.012708,21.877243,15.160545
10.881348,10.741148,10.069161,21.881468,15.160287
10.876968,10.716127,10.132123,21.884415,15.160098
10.874651,10.685141,10.202113,21.886004,15.159982
10.87459,10.647026,10.279442,21.886255,15.15994
10.876886,10.601531,10.363921,21.885188,15.159973
10.881552,10.554247,10.454155,21.88287,15.160078
10.888529,10.520136,10.544198,21.87937,15.160253
10.897682,10.507359,10.626313,21.874748,22.823379
10.908811,10.503286,10.705397,21.869133,15.160799
10.921688,10.495477,10.787939,21.862597,15.16116
10.935985,10.481559,10.876017,21.855256,15.161574
10.951289,10.462118,10.97116,21.847224,15.162034
10.967043,10.438069,11.076251,21.838614,15.162532
10.982446,10.410132,11.196795,21.829551,15.163061
10.996235,10.378282,11.344718,21.820129,15.16579
11.006477,10.342067,11.539877,21.810455,15.164187
11.02132,10.307883,11.679003,21.800629,15.241298
11.058716,10.288728,11.539147,21.790739,15.165355
11.094185,10.267936,11.417128,21.780873,15.165942
11.125514,10.244309,11.337373,21.771114,15.166523
11.154037,10.218956,11.281558,21.761542,15.167093
11.180405,10.192453,11.240018,21.752228,15.167646
11.204897,10.165178,11.207447,21.743253,15.168178
11.227636,10.13734,11.180822,21.734686,15.168685
11.248689,10.108957,11.158481,21.72658,15.169162
11.268094,10.080004,11.139288,21.718978,16.845543
11.285872,10.050367,11.122399,21.711937,15.170009
11.302038,10.019878,11.107201,21.705511,15.17037
11.316603,9.988356,11.093215,21.699748,15.170684
11.329561,9.955699,11.079996,21.694678,15.170948
11.340899,9.921757,11.067233,21.690328,15.171158
11.35061,9.886362,11.054651,21.68673,15.17131
11.358699,9.849331,11.041972,21.683919,15.1714
11.365156,9.810435,11.02901,21.681922,15.171424
11.369971,9.769415,11.015644,21.680763,15.17138
11.37313,9.72598,11.001683,21.68047,15.171262
11.374638,9.679786,10.986789,21.681069,15.171069
11.3745,9.630384,10.970537,21.682593,15.170798
11.372706,9.577136,10.952451,21.685074,15.170446
11.369251,9.519102,10.93185,21.688552,15.170009
11.364114,9.455052,10.907964,21.693059,15.169478
11.35726,9.383135,10.879838,21.698643,15.168853
11.348649,9.300289,10.845795,21.705352,15.168128
11.338246,9.200506,10.802139,21.713222,15.167293
11.325999,9.070316,10.740578,21.722275,15.166332
11.311756,8.869673,10.636819,21.732542,15.165234
11.294858,8.409399,10.376163,21.744058,17.491825
11.279048,8.795251,10.629,21.756871,15.162582
11.260694,8.953987,10.744352,21.771036,15.161014
11.240303,9.035258,10.812783,21.786611,15.159276
11.218015,9.083979,10.861469,21.803649,15.157358
11.193871,9.114509,10.899041,21.822201,15.155241
11.167884,9.133226,10.929256,21.842322,15.152909
11.140045,9.143495,10.95416,21.864073,15.150348
11.110349,9.147269,10.974863,21.887522,15.147537
11.0788,9.145794,10.991978,21.912739,15.144451
11.045382,9.140014,11.005981,21.939793,15.141077
11.01008,9.130533,11.017033,21.968748,15.137404
10.972892,9.11766,11.024926,21.999653,15.133427
10.933801,9.10152,11.029392,22.032537,15.129146
10.892764,9.0823,11.030543,22.067443,15.124553
10.849716,9.060251,11.028784,22.104398,15.119644
10.804573,9.035675,11.024783,22.143402,15.114416
10.757264,9.008802,11.019055,22.184495,15.108857
10.707728,8.979751,11.011923,22.227744,15.102947
10.655917,8.948535,11.003669,22.273193,15.465864
10.601796,8.915125,10.99443,22.320899,15.09
10.545332,8.879541,10.984213,22.370962,15.581584
